,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,Cover_Type
0,0.27139979859013086,0.35000000000000003,0.6938775510204082,0.1906180193596426,0.31976744186046513,0.1629716634855381,-0.1704488995635015,-0.21446140882098372,0.9033723163397874,0.1880124757078495,0.008039199384065629,0.03935788467169345,0.0021103805958433736,0.6905457704085994,-0.4844985823959508,-0.039982849417405014,-105.24746052967251,3
1,0.7854984894259818,0.7194444444444444,0.3061224489795918,0.659717051377513,0.5406976744186046,0.6959330494787843,-0.1349614275423205,-0.1106978140933817,-0.0817706892602854,-0.12047878361108605,-0.023276270769350467,-0.1600157442410795,-0.02075954515751352,-0.6814133161469409,-0.14159317927280443,-0.027976629092907962,79.08931433111665,7
2,0.17724068479355481,0.8972222222222223,0.18367346938775508,0.0,0.1947674418604651,0.16737630303920129,-0.13091012599554144,-0.10328360388181639,-0.07039756525550182,-0.09578674326673944,-0.014616051652678564,-0.0906605437492247,-0.01049966809163902,0.6905457704082872,-0.4844985823968747,-0.03998284941796029,43.80957200941349,4
3,0.27744209466263836,0.1277777777777778,0.5306122448979591,0.08041697691734923,0.2543604651162791,0.1027749229188078,0.878377600396996,0.0657779357591749,0.016130671393427682,0.015104233891767278,0.0011453133714075321,0.005929924315105141,0.00030159427144826136,-0.6814133161472294,-0.14159317927275952,-0.027976629093197265,-63.23184477007532,6
4,0.7739174219536757,0.3472222222222222,0.2857142857142857,0.6701414743112435,0.4709302325581395,0.11319923652914403,-0.1427799953739783,-0.12681648609536092,-0.1143330413798647,-0.21472263594069324,0.7702908130227355,0.4813424638284502,0.013869012212682413,0.11783943647410806,0.09998352402639925,1.1134416701513534,-29.62964665625994,7
5,0.26787512588116824,0.9694444444444444,0.6530612244897959,0.07073715562174236,0.23401162790697672,0.08912054030245191,0.8783776003969962,0.0657779357592577,0.016130671393294,0.015104233891823929,0.0011453133713840167,0.005929924315052412,0.0003015942711927198,-0.6814133161472294,-0.14159317927275952,-0.027976629093197265,32.70970181459646,6
6,0.38569989929506554,0.9388888888888889,0.32653061224489793,0.14147431124348472,0.24273255813953487,0.33034796652473936,0.8783776003969963,0.06577793575924319,0.01613067139323007,0.015104233891884339,0.0011453133715040027,0.0059299243149883996,0.00030159427138318597,-0.6814133161472294,-0.14159317927275952,-0.027976629093197265,43.15157700138519,2
7,0.9879154078549848,0.08888888888888889,0.36734693877551017,0.6262099776619509,0.26598837209302323,0.6308912054030245,-0.11606203123932528,-0.0802685696125495,-0.04398417445397675,-0.05349832974777341,-0.005747711003788878,-0.032146193324685136,-0.0020864806243208454,-0.6814133161472294,-0.14159317927275952,-0.027976629093197265,-22.832973733236436,7
8,0.30463242698892246,0.18055555555555555,0.5102040816326531,0.14147431124348472,0.3023255813953488,0.11980619585963881,0.878377600396995,0.06577793575923575,0.016130671393223755,0.01510423389171398,0.0011453133715557022,0.005929924315078454,0.0003015942713541153,-0.6814133161472294,-0.14159317927275952,-0.027976629093197265,-78.17404460225578,6
9,0.16868076535750243,0.2888888888888889,0.4693877551020408,0.09456440804169769,0.27906976744186046,0.19791513727793275,-0.17044889956351583,-0.21446140882091597,0.903372316339991,0.1880124757079021,0.008039199383834314,0.03935788467180913,0.0021103805955496407,0.690545770408134,-0.48449858239685245,-0.039982849417606756,-80.27457389195331,4
